,Report Date,Customer,Type,Item Short Name,Brand,Sales,axis-x,axis-y
0,2016/08/07 17:39,50843.0,ZeroZero,TC58NVG0S3EBAI4LRH,TOSHIBA,,0,6
1,2016/12/19 09:41,85464.0,OverStock,AON6978,AOS,Lynn Kao,5,1
2,2017/03/02 18:10,25997.0,Normal,CSRQ53750C25-CBBU-T,CSR,Irene,0,5
3,2016/10/24 01:06,1449.0,OverStock,AO3415L,AOS,,2,2
4,2016/12/23 00:47,1171.0,OverStock,27-21/T3D-CP1Q2B16Y/3C(FTK),EVERLIGHT,Sugar,0,0
5,2017/03/06 00:09,10759.0,Normal,PD12-206B/L512/TR8,EVERLIGHT,Joe,6,3
6,2017/02/23 12:02,25997.0,Normal,THGBMDG5D1LBAIL,TOSHIBA,Dustin,0,6
7,2017/01/16 00:55,85464.0,Normal,SMD1812P050TF,PTTC,Lynn Kao,0,4
8,2017/02/17 22:20,1171.0,Normal,23-215A/T1D-CP1Q2QY/3A,EVERLIGHT,Sugar,1,4
9,2017/02/17 22:20,1171.0,OverStock,AOZ2260QI-10,AOS,Winnie,0,2
10,,1171.0,ZeroZero,19-226/R6GHC-D05/2T,EVERLIGHT,,0,6
11,2016/12/16 02:42,1171.0,OverStock,AOD482,AOS,Winnie,2,5
12,2016/12/08 23:34,1171.0,FCST,AO4455,AOS,Winnie,1,6
13,2016/08/06 00:24,1512.0,Normal,EXS00A-CS04340,NDK,,0,6
14,2017/03/01 16:49,1449.0,ZeroZero,MPQ4423GQ-AEC1-Z,MPS,Vincent,1,5
15,2016/11/21 12:23,85464.0,OverStock,SC4215ASTRT,SEMTECH,,1,6
16,2017/02/10 01:51,1171.0,ZeroZero,AON6504,AOS,Winnie,0,6
17,2016/11/04 01:35,1171.0,ZeroZero,TLP191B,TOSHIBA,,1,6
18,2017/03/06 00:08,86122.0,FCST,MP2316GD-Z,MPS,Gillian,0,6
19,2016/11/28 10:05,50843.0,ZeroZero,74LCX157FT(AJ),TOSHIBA,Sharon Wang 王詩硯,0,6
20,2016/10/02 23:39,1512.0,OverStock,THGBMMG8C4LBAARY0J,TOSHIBA,,0,5
21,2017/03/13 18:06,1449.0,OverStock,AOZ8001DI,AOS,Pinky,0,0
22,2016/12/29 12:10,25997.0,OverStock,AO4468,AOS,Gillian,3,3
23,2016/08/07 16:06,1512.0,OverStock,EXS00A-CH00727,NDK,,3,5
24,2016/12/02 01:36,1171.0,Normal,AOZ1037PI-01,AOS,Winnie,1,6
25,2017/03/01 15:43,50843.0,OverStock,TK8A65D,TOSHIBA,Sharon Wang 王詩硯,2,4
26,2017/03/06 00:10,85464.0,ZeroZero,AO6802,AOS,Lynn Kao,0,6
27,2016/12/16 02:42,1171.0,FCST,AON7404,AOS,Winnie,0,6
28,2016/12/23 18:09,1512.0,OverStock,TC7SH08FU,TOSHIBA,Stacy,6,0
29,2016/12/02 01:36,1171.0,Normal,19-217/BHC-XM1M2TY/3T(WSN),EVERLIGHT,Sugar,2,5
30,2016/09/30 12:12,1171.0,OverStock,CUS551V30,TOSHIBA,,3,5
31,2017/02/13 15:31,10759.0,Normal,SMD1812P260TFT,PTTC,Vivian,0,5
32,2016/10/06 12:08,25997.0,Normal,PAW3515DB-TJZA,PIXART,,5,2
33,2017/03/06 00:10,1449.0,OverStock,AO4435L,AOS,"Sid,Sam",2,0
34,2017/03/01 16:49,1449.0,Normal,RCLAMP0504PATCT,SEMTECH,Pinky,2,6
35,2016/12/28 16:10,25997.0,None,MP5077GG-Z,MPS,Gillian,0,6
36,2017/02/13 08:04,50843.0,FCST,RTC5639,RICHWAVE,Sharon Wang 王詩硯,0,6
37,2017/02/15 13:42,25997.0,OverStock,SKY65971-11,SKYWORKS,Irene,1,6
38,2017/03/01 16:49,1449.0,ZeroZero,MP1530DM-LF-Z,MPS,Vincent,0,6
39,2016/09/26 00:04,10759.0,Normal,RT4723WSC,RICHTEK,,2,6
40,2016/08/29 00:03,1449.0,ZeroZero,AON2410,AOS,,0,6
41,2017/03/10 08:20,1171.0,ZeroZero,19-217/Y5C-BL2N1BY/3T(WSN),EVERLIGHT,Sugar,0,6
42,2016-12-05 02:20:00,3545.0,OverStock,"TC7USB40MU,LF(S",TOSHIBA,LiaoAngel,0,1
43,2016/09/12 17:49,25997.0,ZeroZero,TH58NVG3S0HTA00,TOSHIBA,,0,6
44,2016/10/02 23:26,86122.0,OverStock,AON6280,AOS,,3,1
45,2016/11/14 01:41,50843.0,OverStock,"SSM6N37FU,LF(T",TOSHIBA,,6,5
46,2016/08/11 00:31,25997.0,Normal,SMD1206P300SLRT,PTTC,,1,5
47,2016/08/29 00:05,85464.0,OverStock,AO3402,AOS,,3,4
48,2017/02/13 08:04,50843.0,Normal,EXS00A-CS07260,NDK,Zoe Hsu 許亦君,0,6
